"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"10051","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","71","html-keyboard-response","0","10051","0.0-0.0","LIGR","2","f","rechts","24","","","","","",""
"6312","","","survey-text","1","16365","0.0-1.0","LIGR","2","f","rechts","24","{""Q0"":""LIGR""}","","","","",""
"11951","","","survey-text","2","28317","0.0-2.0","LIGR","2","f","rechts","24","{""Q0"":""2""}","","","","",""
"3250","","","survey-multi-choice","3","31569","0.0-3.0","LIGR","2","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1827","","","survey-text","4","33398","0.0-4.0","LIGR","2","f","rechts","24","{""Q0"":""24""}","","","","",""
"714059","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","32","html-keyboard-response","5","747459","0.0-5.0","LIGR","2","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","748864","0.0-6.0-0.0","LIGR","2","f","rechts","24","","fixation","","","",""
"839","img/150_270.png","74","image-keyboard-response","7","749704","0.0-6.0-1.0","LIGR","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","750006","0.0-6.0-0.1","LIGR","2","f","rechts","24","","fixation","","","",""
"948","img/90_150.png","70","image-keyboard-response","9","750955","0.0-6.0-1.1","LIGR","2","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","751357","0.0-6.0-0.2","LIGR","2","f","rechts","24","","fixation","","","",""
"935","img/150_180.png","74","image-keyboard-response","11","752293","0.0-6.0-1.2","LIGR","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","752594","0.0-6.0-0.3","LIGR","2","f","rechts","24","","fixation","","","",""
"890","img/90_120.png","70","image-keyboard-response","13","753485","0.0-6.0-1.3","LIGR","2","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","753986","0.0-6.0-0.4","LIGR","2","f","rechts","24","","fixation","","","",""
"800","img/120_270.png","74","image-keyboard-response","15","754788","0.0-6.0-1.4","LIGR","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","755189","0.0-6.0-0.5","LIGR","2","f","rechts","24","","fixation","","","",""
"975","img/30_240.png","70","image-keyboard-response","17","756166","0.0-6.0-1.5","LIGR","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","756668","0.0-6.0-0.6","LIGR","2","f","rechts","24","","fixation","","","",""
"1010","img/150_120.png","70","image-keyboard-response","19","757678","0.0-6.0-1.6","LIGR","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","758080","0.0-6.0-0.7","LIGR","2","f","rechts","24","","fixation","","","",""
"795","img/90_210.png","74","image-keyboard-response","21","758877","0.0-6.0-1.7","LIGR","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","759278","0.0-6.0-0.8","LIGR","2","f","rechts","24","","fixation","","","",""
"772","img/150_300.png","74","image-keyboard-response","23","760051","0.0-6.0-1.8","LIGR","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","760553","0.0-6.0-0.9","LIGR","2","f","rechts","24","","fixation","","","",""
"757","img/L120_180.png","70","image-keyboard-response","25","761311","0.0-6.0-1.9","LIGR","2","f","rechts","24","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","761813","0.0-6.0-0.10","LIGR","2","f","rechts","24","","fixation","","","",""
"708","img/0_210.png","70","image-keyboard-response","27","762522","0.0-6.0-1.10","LIGR","2","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","762824","0.0-6.0-0.11","LIGR","2","f","rechts","24","","fixation","","","",""
"646","img/L30_180.png","70","image-keyboard-response","29","763471","0.0-6.0-1.11","LIGR","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","763773","0.0-6.0-0.12","LIGR","2","f","rechts","24","","fixation","","","",""
"836","img/60_210.png","74","image-keyboard-response","31","764610","0.0-6.0-1.12","LIGR","2","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","764962","0.0-6.0-0.13","LIGR","2","f","rechts","24","","fixation","","","",""
"717","img/0_270.png","70","image-keyboard-response","33","765680","0.0-6.0-1.13","LIGR","2","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","766032","0.0-6.0-0.14","LIGR","2","f","rechts","24","","fixation","","","",""
"775","img/0_120.png","74","image-keyboard-response","35","766808","0.0-6.0-1.14","LIGR","2","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","767110","0.0-6.0-0.15","LIGR","2","f","rechts","24","","fixation","","","",""
"1132","img/30_60.png","74","image-keyboard-response","37","768243","0.0-6.0-1.15","LIGR","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","768545","0.0-6.0-0.16","LIGR","2","f","rechts","24","","fixation","","","",""
"886","img/30_300.png","70","image-keyboard-response","39","769431","0.0-6.0-1.16","LIGR","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","769832","0.0-6.0-0.17","LIGR","2","f","rechts","24","","fixation","","","",""
"756","img/30_270.png","70","image-keyboard-response","41","770589","0.0-6.0-1.17","LIGR","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","770991","0.0-6.0-0.18","LIGR","2","f","rechts","24","","fixation","","","",""
"721","img/120_210.png","74","image-keyboard-response","43","771713","0.0-6.0-1.18","LIGR","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","772014","0.0-6.0-0.19","LIGR","2","f","rechts","24","","fixation","","","",""
"914","img/30_120.png","74","image-keyboard-response","45","772930","0.0-6.0-1.19","LIGR","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","773231","0.0-6.0-0.20","LIGR","2","f","rechts","24","","fixation","","","",""
"1243","img/120_30.png","74","image-keyboard-response","47","774476","0.0-6.0-1.20","LIGR","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","774978","0.0-6.0-0.21","LIGR","2","f","rechts","24","","fixation","","","",""
"737","img/90_60.png","74","image-keyboard-response","49","775716","0.0-6.0-1.21","LIGR","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","776168","0.0-6.0-0.22","LIGR","2","f","rechts","24","","fixation","","","",""
"908","img/90_330.png","70","image-keyboard-response","51","777078","0.0-6.0-1.22","LIGR","2","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","777479","0.0-6.0-0.23","LIGR","2","f","rechts","24","","fixation","","","",""
"782","img/90_240.png","74","image-keyboard-response","53","778262","0.0-6.0-1.23","LIGR","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","778714","0.0-6.0-0.24","LIGR","2","f","rechts","24","","fixation","","","",""
"991","img/L150_180.png","70","image-keyboard-response","55","779707","0.0-6.0-1.24","LIGR","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","780107","0.0-6.0-0.25","LIGR","2","f","rechts","24","","fixation","","","",""
"944","img/150_240.png","74","image-keyboard-response","57","781052","0.0-6.0-1.25","LIGR","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","781454","0.0-6.0-0.26","LIGR","2","f","rechts","24","","fixation","","","",""
"844","img/60_90.png","74","image-keyboard-response","59","782299","0.0-6.0-1.26","LIGR","2","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","782751","0.0-6.0-0.27","LIGR","2","f","rechts","24","","fixation","","","",""
"1110","img/90_180.png","74","image-keyboard-response","61","783861","0.0-6.0-1.27","LIGR","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","784363","0.0-6.0-0.28","LIGR","2","f","rechts","24","","fixation","","","",""
"1119","img/120_180.png","74","image-keyboard-response","63","785483","0.0-6.0-1.28","LIGR","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","785985","0.0-6.0-0.29","LIGR","2","f","rechts","24","","fixation","","","",""
