"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"3155","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","3160","0.0-0.0","MAGA","2","f","rechts","24","","","","","",""
"2110","","","survey-text","1","5271","0.0-1.0","MAGA","2","f","rechts","24","{""Q0"":""MAGA""}","","","","",""
"1784","","","survey-text","2","7056","0.0-2.0","MAGA","2","f","rechts","24","{""Q0"":""2""}","","","","",""
"3693","","","survey-multi-choice","3","10751","0.0-3.0","MAGA","2","f","rechts","24","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1984","","","survey-text","4","12736","0.0-4.0","MAGA","2","f","rechts","24","{""Q0"":""24""}","","","","",""
"40026","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","74","html-keyboard-response","5","52765","0.0-5.0","MAGA","2","f","rechts","24","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","54268","0.0-6.0-0.0","MAGA","2","f","rechts","24","","fixation","","","",""
"704","img/L150_180.png","70","image-keyboard-response","7","54974","0.0-6.0-1.0","MAGA","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","55275","0.0-6.0-0.1","MAGA","2","f","rechts","24","","fixation","","","",""
"745","img/150_270.png","74","image-keyboard-response","9","56021","0.0-6.0-1.1","MAGA","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","56523","0.0-6.0-0.2","MAGA","2","f","rechts","24","","fixation","","","",""
"868","img/60_30.png","74","image-keyboard-response","11","57392","0.0-6.0-1.2","MAGA","2","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","57844","0.0-6.0-0.3","MAGA","2","f","rechts","24","","fixation","","","",""
"1088","img/60_150.png","70","image-keyboard-response","13","58933","0.0-6.0-1.3","MAGA","2","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","59434","0.0-6.0-0.4","MAGA","2","f","rechts","24","","fixation","","","",""
"674","img/90_210.png","74","image-keyboard-response","15","60109","0.0-6.0-1.4","MAGA","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","60561","0.0-6.0-0.5","MAGA","2","f","rechts","24","","fixation","","","",""
"734","img/0_330.png","70","image-keyboard-response","17","61296","0.0-6.0-1.5","MAGA","2","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","61798","0.0-6.0-0.6","MAGA","2","f","rechts","24","","fixation","","","",""
"692","img/90_240.png","74","image-keyboard-response","19","62491","0.0-6.0-1.6","MAGA","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","62843","0.0-6.0-0.7","MAGA","2","f","rechts","24","","fixation","","","",""
"794","img/30_180.png","74","image-keyboard-response","21","63638","0.0-6.0-1.7","MAGA","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","64040","0.0-6.0-0.8","MAGA","2","f","rechts","24","","fixation","","","",""
"664","img/150_300.png","74","image-keyboard-response","23","64705","0.0-6.0-1.8","MAGA","2","f","rechts","24","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","65006","0.0-6.0-0.9","MAGA","2","f","rechts","24","","fixation","","","",""
"831","img/90_30.png","74","image-keyboard-response","25","65838","0.0-6.0-1.9","MAGA","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","66289","0.0-6.0-0.10","MAGA","2","f","rechts","24","","fixation","","","",""
"993","img/30_270.png","70","image-keyboard-response","27","67283","0.0-6.0-1.10","MAGA","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","67585","0.0-6.0-0.11","MAGA","2","f","rechts","24","","fixation","","","",""
"791","img/60_330.png","70","image-keyboard-response","29","68377","0.0-6.0-1.11","MAGA","2","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","68679","0.0-6.0-0.12","MAGA","2","f","rechts","24","","fixation","","","",""
"711","img/0_240.png","70","image-keyboard-response","31","69391","0.0-6.0-1.12","MAGA","2","f","rechts","24","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","69743","0.0-6.0-0.13","MAGA","2","f","rechts","24","","fixation","","","",""
"750","img/L60_180.png","70","image-keyboard-response","33","70494","0.0-6.0-1.13","MAGA","2","f","rechts","24","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","70846","0.0-6.0-0.14","MAGA","2","f","rechts","24","","fixation","","","",""
"731","img/L30_180.png","70","image-keyboard-response","35","71578","0.0-6.0-1.14","MAGA","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","71930","0.0-6.0-0.15","MAGA","2","f","rechts","24","","fixation","","","",""
"728","img/30_90.png","74","image-keyboard-response","37","72659","0.0-6.0-1.15","MAGA","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","73161","0.0-6.0-0.16","MAGA","2","f","rechts","24","","fixation","","","",""
"687","img/30_240.png","70","image-keyboard-response","39","73849","0.0-6.0-1.16","MAGA","2","f","rechts","24","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","74301","0.0-6.0-0.17","MAGA","2","f","rechts","24","","fixation","","","",""
"680","img/30_120.png","74","image-keyboard-response","41","74982","0.0-6.0-1.17","MAGA","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","75283","0.0-6.0-0.18","MAGA","2","f","rechts","24","","fixation","","","",""
"747","img/150_90.png","70","image-keyboard-response","43","76031","0.0-6.0-1.18","MAGA","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","76333","0.0-6.0-0.19","MAGA","2","f","rechts","24","","fixation","","","",""
"604","img/90_150.png","70","image-keyboard-response","45","76939","0.0-6.0-1.19","MAGA","2","f","rechts","24","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","77290","0.0-6.0-0.20","MAGA","2","f","rechts","24","","fixation","","","",""
"697","img/30_60.png","74","image-keyboard-response","47","77988","0.0-6.0-1.20","MAGA","2","f","rechts","24","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","78290","0.0-6.0-0.21","MAGA","2","f","rechts","24","","fixation","","","",""
"630","img/60_90.png","74","image-keyboard-response","49","78922","0.0-6.0-1.21","MAGA","2","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","79223","0.0-6.0-0.22","MAGA","2","f","rechts","24","","fixation","","","",""
"707","img/0_150.png","74","image-keyboard-response","51","79932","0.0-6.0-1.22","MAGA","2","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","80383","0.0-6.0-0.23","MAGA","2","f","rechts","24","","fixation","","","",""
"823","img/120_270.png","74","image-keyboard-response","53","81207","0.0-6.0-1.23","MAGA","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","81707","0.0-6.0-0.24","MAGA","2","f","rechts","24","","fixation","","","",""
"682","img/150_120.png","70","image-keyboard-response","55","82392","0.0-6.0-1.24","MAGA","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","82793","0.0-6.0-0.25","MAGA","2","f","rechts","24","","fixation","","","",""
"692","img/120_330.png","74","image-keyboard-response","57","83487","0.0-6.0-1.25","MAGA","2","f","rechts","24","","","self","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","83888","0.0-6.0-0.26","MAGA","2","f","rechts","24","","fixation","","","",""
"632","img/0_30.png","74","image-keyboard-response","59","84523","0.0-6.0-1.26","MAGA","2","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","85024","0.0-6.0-0.27","MAGA","2","f","rechts","24","","fixation","","","",""
"654","img/120_210.png","74","image-keyboard-response","61","85680","0.0-6.0-1.27","MAGA","2","f","rechts","24","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","86031","0.0-6.0-0.28","MAGA","2","f","rechts","24","","fixation","","","",""
"583","img/0_60.png","74","image-keyboard-response","63","86615","0.0-6.0-1.28","MAGA","2","f","rechts","24","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","86917","0.0-6.0-0.29","MAGA","2","f","rechts","24","","fixation","","","",""
"774","img/150_60.png","70","image-keyboard-response","65","87693","0.0-6.0-1.29","MAGA","2","f","rechts","24","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","88094","0.0-6.0-0.30","MAGA","2","f","rechts","24","","fixation","","","",""
"818","img/90_180.png","74","image-keyboard-response","67","88914","0.0-6.0-1.30","MAGA","2","f","rechts","24","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","89415","0.0-6.0-0.31","MAGA","2","f","rechts","24","","fixation","","","",""
"575","img/60_180.png","74","image-keyboard-response","69","89992","0.0-6.0-1.31","MAGA","2","f","rechts","24","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","90343","0.0-6.0-0.32","MAGA","2","f","rechts","24","","fixation","","","",""
"617","img/0_300.png","70","image-keyboard-response","71","90961","0.0-6.0-1.32","MAGA","2","f","rechts","24","","","self","f","0","true"
