"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1506","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","13","html-keyboard-response","0","1519","0.0-0.0","VASC","2","f","rechts","21","","","","","",""
"5631","","","survey-text","1","7154","0.0-1.0","VASC","2","f","rechts","21","{""Q0"":""VASC""}","","","","",""
"7088","","","survey-text","2","14244","0.0-2.0","VASC","2","f","rechts","21","{""Q0"":""2""}","","","","",""
"2933","","","survey-multi-choice","3","17181","0.0-3.0","VASC","2","f","rechts","21","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"3260","","","survey-text","4","20442","0.0-4.0","VASC","2","f","rechts","21","{""Q0"":""21""}","","","","",""
"23150","<p> Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bewegst du dich entlang dieses Pfeils bis an seine Spitze. Wenn du am Ende des Pfeils angekommen bist, schau zur Tischmitte. </p> <img src='img/90_180.png'></img> <br> <p>Entscheide dann, ob der Ball von deiner neuen (vorgestellten) Position links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p> <br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","13","html-keyboard-response","5","43601","0.0-5.0","VASC","2","f","rechts","21","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","44928","0.0-6.0-0.0","VASC","2","f","rechts","21","","fixation","","","",""
"1411","img/150_90.png","70","image-keyboard-response","7","46360","0.0-6.0-1.0","VASC","2","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","46672","0.0-6.0-0.1","VASC","2","f","rechts","21","","fixation","","","",""
"1326","img/120_30.png","74","image-keyboard-response","9","48019","0.0-6.0-1.1","VASC","2","f","rechts","21","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","48376","0.0-6.0-0.2","VASC","2","f","rechts","21","","fixation","","","",""
"1043","img/90_60.png","74","image-keyboard-response","11","49438","0.0-6.0-1.2","VASC","2","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","49859","0.0-6.0-0.3","VASC","2","f","rechts","21","","fixation","","","",""
"1170","img/30_60.png","74","image-keyboard-response","13","51047","0.0-6.0-1.3","VASC","2","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","51359","0.0-6.0-0.4","VASC","2","f","rechts","21","","fixation","","","",""
"1267","img/L60_180.png","70","image-keyboard-response","15","52645","0.0-6.0-1.4","VASC","2","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","52970","0.0-6.0-0.5","VASC","2","f","rechts","21","","fixation","","","",""
"959","img/60_150.png","70","image-keyboard-response","17","53948","0.0-6.0-1.5","VASC","2","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","54312","0.0-6.0-0.6","VASC","2","f","rechts","21","","fixation","","","",""
"1183","img/30_180.png","74","image-keyboard-response","19","55515","0.0-6.0-1.6","VASC","2","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","55826","0.0-6.0-0.7","VASC","2","f","rechts","21","","fixation","","","",""
"1128","img/90_120.png","70","image-keyboard-response","21","56973","0.0-6.0-1.7","VASC","2","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","57377","0.0-6.0-0.8","VASC","2","f","rechts","21","","fixation","","","",""
"940","img/120_210.png","74","image-keyboard-response","23","58337","0.0-6.0-1.8","VASC","2","f","rechts","21","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","58658","0.0-6.0-0.9","VASC","2","f","rechts","21","","fixation","","","",""
"1157","img/90_300.png","70","image-keyboard-response","25","59832","0.0-6.0-1.9","VASC","2","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","60188","0.0-6.0-0.10","VASC","2","f","rechts","21","","fixation","","","",""
"1672","img/120_90.png","70","image-keyboard-response","27","61880","0.0-6.0-1.10","VASC","2","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","62393","0.0-6.0-0.11","VASC","2","f","rechts","21","","fixation","","","",""
"1000","img/30_270.png","70","image-keyboard-response","29","63411","0.0-6.0-1.11","VASC","2","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","63926","0.0-6.0-0.12","VASC","2","f","rechts","21","","fixation","","","",""
"996","img/L120_180.png","70","image-keyboard-response","31","64940","0.0-6.0-1.12","VASC","2","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","65451","0.0-6.0-0.13","VASC","2","f","rechts","21","","fixation","","","",""
"1136","img/0_60.png","74","image-keyboard-response","33","66605","0.0-6.0-1.13","VASC","2","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","66919","0.0-6.0-0.14","VASC","2","f","rechts","21","","fixation","","","",""
"689","img/0_270.png","70","image-keyboard-response","35","67629","0.0-6.0-1.14","VASC","2","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","67936","0.0-6.0-0.15","VASC","2","f","rechts","21","","fixation","","","",""
"1179","img/90_240.png","74","image-keyboard-response","37","69135","0.0-6.0-1.15","VASC","2","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","69610","0.0-6.0-0.16","VASC","2","f","rechts","21","","fixation","","","",""
"1083","img/90_30.png","74","image-keyboard-response","39","70712","0.0-6.0-1.16","VASC","2","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","71078","0.0-6.0-0.17","VASC","2","f","rechts","21","","fixation","","","",""
"796","img/0_300.png","70","image-keyboard-response","41","71892","0.0-6.0-1.17","VASC","2","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","72265","0.0-6.0-0.18","VASC","2","f","rechts","21","","fixation","","","",""
"1187","img/150_120.png","70","image-keyboard-response","43","73456","0.0-6.0-1.18","VASC","2","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","73936","0.0-6.0-0.19","VASC","2","f","rechts","21","","fixation","","","",""
"887","img/90_150.png","70","image-keyboard-response","45","74840","0.0-6.0-1.19","VASC","2","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","75217","0.0-6.0-0.20","VASC","2","f","rechts","21","","fixation","","","",""
"1187","img/30_90.png","74","image-keyboard-response","47","76416","0.0-6.0-1.20","VASC","2","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","76921","0.0-6.0-0.21","VASC","2","f","rechts","21","","fixation","","","",""
"1019","img/90_210.png","74","image-keyboard-response","49","77957","0.0-6.0-1.21","VASC","2","f","rechts","21","","","self","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","78468","0.0-6.0-0.22","VASC","2","f","rechts","21","","fixation","","","",""
"1787","img/150_270.png","74","image-keyboard-response","51","80272","0.0-6.0-1.22","VASC","2","f","rechts","21","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","80732","0.0-6.0-0.23","VASC","2","f","rechts","21","","fixation","","","",""
"715","img/150_240.png","74","image-keyboard-response","53","81464","0.0-6.0-1.23","VASC","2","f","rechts","21","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","81984","0.0-6.0-0.24","VASC","2","f","rechts","21","","fixation","","","",""
"1027","img/60_30.png","74","image-keyboard-response","55","83031","0.0-6.0-1.24","VASC","2","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","83407","0.0-6.0-0.25","VASC","2","f","rechts","21","","fixation","","","",""
"1853","img/120_330.png","70","image-keyboard-response","57","85278","0.0-6.0-1.25","VASC","2","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","85689","0.0-6.0-0.26","VASC","2","f","rechts","21","","fixation","","","",""
"1586","img/L90_180.png","70","image-keyboard-response","59","87292","0.0-6.0-1.26","VASC","2","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","87667","0.0-6.0-0.27","VASC","2","f","rechts","21","","fixation","","","",""
"1836","img/150_300.png","74","image-keyboard-response","61","89523","0.0-6.0-1.27","VASC","2","f","rechts","21","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","89824","0.0-6.0-0.28","VASC","2","f","rechts","21","","fixation","","","",""
"1287","img/L30_180.png","70","image-keyboard-response","63","91130","0.0-6.0-1.28","VASC","2","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","91543","0.0-6.0-0.29","VASC","2","f","rechts","21","","fixation","","","",""
"908","img/0_30.png","74","image-keyboard-response","65","92469","0.0-6.0-1.29","VASC","2","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","92888","0.0-6.0-0.30","VASC","2","f","rechts","21","","fixation","","","",""
"1036","img/150_180.png","74","image-keyboard-response","67","93943","0.0-6.0-1.30","VASC","2","f","rechts","21","","","self","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","94417","0.0-6.0-0.31","VASC","2","f","rechts","21","","fixation","","","",""
"1152","img/60_270.png","70","image-keyboard-response","69","95588","0.0-6.0-1.31","VASC","2","f","rechts","21","","","self","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","95943","0.0-6.0-0.32","VASC","2","f","rechts","21","","fixation","","","",""
"884","img/90_330.png","70","image-keyboard-response","71","96845","0.0-6.0-1.32","VASC","2","f","rechts","21","","","self","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","97200","0.0-6.0-0.33","VASC","2","f","rechts","21","","fixation","","","",""
"745","img/0_330.png","70","image-keyboard-response","73","97971","0.0-6.0-1.33","VASC","2","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","98326","0.0-6.0-0.34","VASC","2","f","rechts","21","","fixation","","","",""
"897","img/0_90.png","74","image-keyboard-response","75","99230","0.0-6.0-1.34","VASC","2","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","99733","0.0-6.0-0.35","VASC","2","f","rechts","21","","fixation","","","",""
"1000","img/60_90.png","74","image-keyboard-response","77","100749","0.0-6.0-1.35","VASC","2","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","101078","0.0-6.0-0.36","VASC","2","f","rechts","21","","fixation","","","",""
"1026","img/30_300.png","70","image-keyboard-response","79","102122","0.0-6.0-1.36","VASC","2","f","rechts","21","","","self","f","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","102540","0.0-6.0-0.37","VASC","2","f","rechts","21","","fixation","","","",""
"935","img/120_150.png","70","image-keyboard-response","81","103495","0.0-6.0-1.37","VASC","2","f","rechts","21","","","self","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","103962","0.0-6.0-0.38","VASC","2","f","rechts","21","","fixation","","","",""
"1100","img/60_180.png","74","image-keyboard-response","83","105081","0.0-6.0-1.38","VASC","2","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","105383","0.0-6.0-0.39","VASC","2","f","rechts","21","","fixation","","","",""
"1086","img/120_180.png","74","image-keyboard-response","85","106488","0.0-6.0-1.39","VASC","2","f","rechts","21","","","self","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","106797","0.0-6.0-0.40","VASC","2","f","rechts","21","","fixation","","","",""
"674","img/0_120.png","74","image-keyboard-response","87","107489","0.0-6.0-1.40","VASC","2","f","rechts","21","","","self","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","108017","0.0-6.0-0.41","VASC","2","f","rechts","21","","fixation","","","",""
"1595","img/150_60.png","70","image-keyboard-response","89","109627","0.0-6.0-1.41","VASC","2","f","rechts","21","","","self","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","110095","0.0-6.0-0.42","VASC","2","f","rechts","21","","fixation","","","",""
"1134","img/60_210.png","74","image-keyboard-response","91","111244","0.0-6.0-1.42","VASC","2","f","rechts","21","","","self","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","111767","0.0-6.0-0.43","VASC","2","f","rechts","21","","fixation","","","",""
"1341","img/30_120.png","74","image-keyboard-response","93","113126","0.0-6.0-1.43","VASC","2","f","rechts","21","","","self","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","113484","0.0-6.0-0.44","VASC","2","f","rechts","21","","fixation","","","",""
"768","img/0_210.png","70","image-keyboard-response","95","114270","0.0-6.0-1.44","VASC","2","f","rechts","21","","","self","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","114625","0.0-6.0-0.45","VASC","2","f","rechts","21","","fixation","","","",""
