"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"1088","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","72","html-keyboard-response","0","1092","0.0-0.0","SAST","2","f","rechts","18","","","","","",""
"8522","","","survey-text","1","9616","0.0-1.0","SAST","2","f","rechts","18","{""Q0"":""SAST""}","","","","",""
"4902","","","survey-text","2","14519","0.0-2.0","SAST","2","f","rechts","18","{""Q0"":""2""}","","","","",""
"4322","","","survey-multi-choice","3","18843","0.0-3.0","SAST","2","f","rechts","18","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"2864","","","survey-text","4","21707","0.0-4.0","SAST","2","f","rechts","18","{""Q0"":""18""}","","","","",""
"30671","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","70","html-keyboard-response","5","52380","0.0-5.0","SAST","2","f","rechts","18","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","53683","0.0-6.0-0.0","SAST","2","f","rechts","18","","fixation","","","",""
"1087","img/150_60.png","74","image-keyboard-response","7","54773","0.0-6.0-1.0","SAST","2","f","rechts","18","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","55225","0.0-6.0-0.1","SAST","2","f","rechts","18","","fixation","","","",""
"629","img/90_180.png","70","image-keyboard-response","9","55856","0.0-6.0-1.1","SAST","2","f","rechts","18","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","56308","0.0-6.0-0.2","SAST","2","f","rechts","18","","fixation","","","",""
"999","img/60_150.png","74","image-keyboard-response","11","57308","0.0-6.0-1.2","SAST","2","f","rechts","18","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","57810","0.0-6.0-0.3","SAST","2","f","rechts","18","","fixation","","","",""
"742","img/120_330.png","70","image-keyboard-response","13","58553","0.0-6.0-1.3","SAST","2","f","rechts","18","","","object","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","58955","0.0-6.0-0.4","SAST","2","f","rechts","18","","fixation","","","",""
"790","img/L90_180.png","74","image-keyboard-response","15","59748","0.0-6.0-1.4","SAST","2","f","rechts","18","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","60249","0.0-6.0-0.5","SAST","2","f","rechts","18","","fixation","","","",""
"793","img/150_120.png","74","image-keyboard-response","17","61044","0.0-6.0-1.5","SAST","2","f","rechts","18","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","61345","0.0-6.0-0.6","SAST","2","f","rechts","18","","fixation","","","",""
"1062","img/120_30.png","74","image-keyboard-response","19","62409","0.0-6.0-1.6","SAST","2","f","rechts","18","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","62811","0.0-6.0-0.7","SAST","2","f","rechts","18","","fixation","","","",""
"705","img/150_270.png","70","image-keyboard-response","21","63517","0.0-6.0-1.7","SAST","2","f","rechts","18","","","object","j","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","63869","0.0-6.0-0.8","SAST","2","f","rechts","18","","fixation","","","",""
"1322","img/60_330.png","70","image-keyboard-response","23","65192","0.0-6.0-1.8","SAST","2","f","rechts","18","","","object","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","65494","0.0-6.0-0.9","SAST","2","f","rechts","18","","fixation","","","",""
"758","img/0_120.png","74","image-keyboard-response","25","66253","0.0-6.0-1.9","SAST","2","f","rechts","18","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","66706","0.0-6.0-0.10","SAST","2","f","rechts","18","","fixation","","","",""
"712","img/0_60.png","74","image-keyboard-response","27","67420","0.0-6.0-1.10","SAST","2","f","rechts","18","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","67721","0.0-6.0-0.11","SAST","2","f","rechts","18","","fixation","","","",""
"890","img/L120_180.png","74","image-keyboard-response","29","68612","0.0-6.0-1.11","SAST","2","f","rechts","18","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","69114","0.0-6.0-0.12","SAST","2","f","rechts","18","","fixation","","","",""
"669","img/0_150.png","74","image-keyboard-response","31","69784","0.0-6.0-1.12","SAST","2","f","rechts","18","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","70236","0.0-6.0-0.13","SAST","2","f","rechts","18","","fixation","","","",""
"848","img/120_150.png","74","image-keyboard-response","33","71085","0.0-6.0-1.13","SAST","2","f","rechts","18","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","71387","0.0-6.0-0.14","SAST","2","f","rechts","18","","fixation","","","",""
"946","img/90_30.png","74","image-keyboard-response","35","72334","0.0-6.0-1.14","SAST","2","f","rechts","18","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","72686","0.0-6.0-0.15","SAST","2","f","rechts","18","","fixation","","","",""
"832","img/90_150.png","74","image-keyboard-response","37","73519","0.0-6.0-1.15","SAST","2","f","rechts","18","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","73971","0.0-6.0-0.16","SAST","2","f","rechts","18","","fixation","","","",""
"917","img/90_330.png","70","image-keyboard-response","39","74889","0.0-6.0-1.16","SAST","2","f","rechts","18","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","75291","0.0-6.0-0.17","SAST","2","f","rechts","18","","fixation","","","",""
"499","img/90_60.png","74","image-keyboard-response","41","75791","0.0-6.0-1.17","SAST","2","f","rechts","18","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","76143","0.0-6.0-0.18","SAST","2","f","rechts","18","","fixation","","","",""
"720","img/120_210.png","70","image-keyboard-response","43","76864","0.0-6.0-1.18","SAST","2","f","rechts","18","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","77316","0.0-6.0-0.19","SAST","2","f","rechts","18","","fixation","","","",""
"1068","img/0_210.png","70","image-keyboard-response","45","78386","0.0-6.0-1.19","SAST","2","f","rechts","18","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","78736","0.0-6.0-0.20","SAST","2","f","rechts","18","","fixation","","","",""
"747","img/0_90.png","74","image-keyboard-response","47","79486","0.0-6.0-1.20","SAST","2","f","rechts","18","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","79987","0.0-6.0-0.21","SAST","2","f","rechts","18","","fixation","","","",""
"738","img/0_300.png","70","image-keyboard-response","49","80728","0.0-6.0-1.21","SAST","2","f","rechts","18","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","81179","0.0-6.0-0.22","SAST","2","f","rechts","18","","fixation","","","",""
"716","img/30_60.png","74","image-keyboard-response","51","81897","0.0-6.0-1.22","SAST","2","f","rechts","18","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","82299","0.0-6.0-0.23","SAST","2","f","rechts","18","","fixation","","","",""
"1079","img/120_180.png","70","image-keyboard-response","53","83379","0.0-6.0-1.23","SAST","2","f","rechts","18","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","83681","0.0-6.0-0.24","SAST","2","f","rechts","18","","fixation","","","",""
"1353","img/150_180.png","74","image-keyboard-response","55","85035","0.0-6.0-1.24","SAST","2","f","rechts","18","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","85437","0.0-6.0-0.25","SAST","2","f","rechts","18","","fixation","","","",""
"null","img/30_240.png","null","image-keyboard-response","57","88439","0.0-6.0-1.25","SAST","2","f","rechts","18","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","88941","0.0-6.0-0.26","SAST","2","f","rechts","18","","fixation","","","",""
"747","img/0_30.png","74","image-keyboard-response","59","89689","0.0-6.0-1.26","SAST","2","f","rechts","18","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","90141","0.0-6.0-0.27","SAST","2","f","rechts","18","","fixation","","","",""
"1281","img/90_240.png","70","image-keyboard-response","61","91424","0.0-6.0-1.27","SAST","2","f","rechts","18","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","91875","0.0-6.0-0.28","SAST","2","f","rechts","18","","fixation","","","",""
"1096","img/90_210.png","70","image-keyboard-response","63","92973","0.0-6.0-1.28","SAST","2","f","rechts","18","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","93274","0.0-6.0-0.29","SAST","2","f","rechts","18","","fixation","","","",""
"1230","img/60_90.png","74","image-keyboard-response","65","94506","0.0-6.0-1.29","SAST","2","f","rechts","18","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","94807","0.0-6.0-0.30","SAST","2","f","rechts","18","","fixation","","","",""
"983","img/60_30.png","74","image-keyboard-response","67","95792","0.0-6.0-1.30","SAST","2","f","rechts","18","","","object","f","60","false"
