"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","session","sex","handedness","age","responses","test_part","condition","correct_response","angle","correct"
"3164","<p>Mental Rotation Experiment.</p> <p>Dr&uuml;cke eine beliebige Taste, um anzufangen.</p>","70","html-keyboard-response","0","3168","0.0-0.0","HEFI","3","f","rechts","55","","","","","",""
"3785","","","survey-text","1","6955","0.0-1.0","HEFI","3","f","rechts","55","{""Q0"":""HEFI""}","","","","",""
"2376","","","survey-text","2","9332","0.0-2.0","HEFI","3","f","rechts","55","{""Q0"":""3""}","","","","",""
"3746","","","survey-multi-choice","3","13084","0.0-3.0","HEFI","3","f","rechts","55","{""Q0"":""f"",""Q1"":""rechts""}","","","","",""
"1742","","","survey-text","4","14826","0.0-4.0","HEFI","3","f","rechts","55","{""Q0"":""55""}","","","","",""
"22435","<p>Stell dir vor, dass du vor einem runden Tisch stehst, auf dem sich ein blauer Ball am Tischrand befindet. Entlang des Tischrands ist jeweils ein verschieden langer Pfeil. Nun bleibst du an deinem Platz vor dem Tisch und rotierst den Tisch entlang des Pfeils (gleiche Richtung und LÃ¤nge). </p> <img src='img/30_180.png'></img> <br><p> Nachdem du diese (vorgestellte) Rotation durchgef&uuml;hrt hast, schau in Richtung der Tischmitte, und entscheide dann, ob der Ball links oder rechts von dir liegt.</p> <p>Dr&uuml;cke die <strong>'f'</strong>-Taste f&uuml;r links, die <strong>'j'</strong>-Taste f&uuml;r rechts.</p><br><p> Das Bild wird jeweils 1 Sekunde lang pr&auml;sentiert. Du hast 3 Sekunden Zeit eine Entscheidung zu treffen.</p>","16","html-keyboard-response","5","37263","0.0-5.0","HEFI","3","f","rechts","55","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","38667","0.0-6.0-0.0","HEFI","3","f","rechts","55","","fixation","","","",""
"1525","img/90_120.png","70","image-keyboard-response","7","40195","0.0-6.0-1.0","HEFI","3","f","rechts","55","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","40696","0.0-6.0-0.1","HEFI","3","f","rechts","55","","fixation","","","",""
"1165","img/90_330.png","74","image-keyboard-response","9","41862","0.0-6.0-1.1","HEFI","3","f","rechts","55","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","42264","0.0-6.0-0.2","HEFI","3","f","rechts","55","","fixation","","","",""
"1208","img/30_60.png","74","image-keyboard-response","11","43474","0.0-6.0-1.2","HEFI","3","f","rechts","55","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","43876","0.0-6.0-0.3","HEFI","3","f","rechts","55","","fixation","","","",""
"1805","img/30_180.png","74","image-keyboard-response","13","45682","0.0-6.0-1.3","HEFI","3","f","rechts","55","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","46083","0.0-6.0-0.4","HEFI","3","f","rechts","55","","fixation","","","",""
"1794","img/120_180.png","74","image-keyboard-response","15","47879","0.0-6.0-1.4","HEFI","3","f","rechts","55","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","48280","0.0-6.0-0.5","HEFI","3","f","rechts","55","","fixation","","","",""
"1076","img/120_150.png","70","image-keyboard-response","17","49358","0.0-6.0-1.5","HEFI","3","f","rechts","55","","","object","j","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","49810","0.0-6.0-0.6","HEFI","3","f","rechts","55","","fixation","","","",""
"1239","img/30_270.png","74","image-keyboard-response","19","51051","0.0-6.0-1.6","HEFI","3","f","rechts","55","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","51401","0.0-6.0-0.7","HEFI","3","f","rechts","55","","fixation","","","",""
"1150","img/120_270.png","74","image-keyboard-response","21","52553","0.0-6.0-1.7","HEFI","3","f","rechts","55","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","52954","0.0-6.0-0.8","HEFI","3","f","rechts","55","","fixation","","","",""
"1581","img/90_60.png","70","image-keyboard-response","23","54537","0.0-6.0-1.8","HEFI","3","f","rechts","55","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","54989","0.0-6.0-0.9","HEFI","3","f","rechts","55","","fixation","","","",""
"1063","img/30_240.png","74","image-keyboard-response","25","56054","0.0-6.0-1.9","HEFI","3","f","rechts","55","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","56555","0.0-6.0-0.10","HEFI","3","f","rechts","55","","fixation","","","",""
"1072","img/0_150.png","74","image-keyboard-response","27","57628","0.0-6.0-1.10","HEFI","3","f","rechts","55","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","58029","0.0-6.0-0.11","HEFI","3","f","rechts","55","","fixation","","","",""
"1228","img/L60_180.png","70","image-keyboard-response","29","59259","0.0-6.0-1.11","HEFI","3","f","rechts","55","","","object","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","59660","0.0-6.0-0.12","HEFI","3","f","rechts","55","","fixation","","","",""
"1685","img/60_90.png","70","image-keyboard-response","31","61347","0.0-6.0-1.12","HEFI","3","f","rechts","55","","","object","j","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","61798","0.0-6.0-0.13","HEFI","3","f","rechts","55","","fixation","","","",""
"1092","img/30_120.png","74","image-keyboard-response","33","62893","0.0-6.0-1.13","HEFI","3","f","rechts","55","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","63344","0.0-6.0-0.14","HEFI","3","f","rechts","55","","fixation","","","",""
"1116","img/120_30.png","70","image-keyboard-response","35","64463","0.0-6.0-1.14","HEFI","3","f","rechts","55","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","64963","0.0-6.0-0.15","HEFI","3","f","rechts","55","","fixation","","","",""
"1080","img/L30_180.png","74","image-keyboard-response","37","66044","0.0-6.0-1.15","HEFI","3","f","rechts","55","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","66545","0.0-6.0-0.16","HEFI","3","f","rechts","55","","fixation","","","",""
"1508","img/60_270.png","74","image-keyboard-response","39","68055","0.0-6.0-1.16","HEFI","3","f","rechts","55","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","68457","0.0-6.0-0.17","HEFI","3","f","rechts","55","","fixation","","","",""
"1008","img/0_90.png","74","image-keyboard-response","41","69466","0.0-6.0-1.17","HEFI","3","f","rechts","55","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","69818","0.0-6.0-0.18","HEFI","3","f","rechts","55","","fixation","","","",""
"1416","img/30_90.png","74","image-keyboard-response","43","71236","0.0-6.0-1.18","HEFI","3","f","rechts","55","","","object","j","30","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","71687","0.0-6.0-0.19","HEFI","3","f","rechts","55","","fixation","","","",""
"847","img/0_330.png","70","image-keyboard-response","45","72537","0.0-6.0-1.19","HEFI","3","f","rechts","55","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","72888","0.0-6.0-0.20","HEFI","3","f","rechts","55","","fixation","","","",""
"1171","img/90_300.png","74","image-keyboard-response","47","74061","0.0-6.0-1.20","HEFI","3","f","rechts","55","","","object","j","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","74563","0.0-6.0-0.21","HEFI","3","f","rechts","55","","fixation","","","",""
"1644","img/150_270.png","74","image-keyboard-response","49","76209","0.0-6.0-1.21","HEFI","3","f","rechts","55","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","76710","0.0-6.0-0.22","HEFI","3","f","rechts","55","","fixation","","","",""
"1231","img/120_210.png","74","image-keyboard-response","51","77942","0.0-6.0-1.22","HEFI","3","f","rechts","55","","","object","f","120","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","78444","0.0-6.0-0.23","HEFI","3","f","rechts","55","","fixation","","","",""
"830","img/0_300.png","70","image-keyboard-response","53","79275","0.0-6.0-1.23","HEFI","3","f","rechts","55","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","79576","0.0-6.0-0.24","HEFI","3","f","rechts","55","","fixation","","","",""
"836","img/0_210.png","70","image-keyboard-response","55","80414","0.0-6.0-1.24","HEFI","3","f","rechts","55","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","80815","0.0-6.0-0.25","HEFI","3","f","rechts","55","","fixation","","","",""
"666","img/0_270.png","70","image-keyboard-response","57","81482","0.0-6.0-1.25","HEFI","3","f","rechts","55","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","81883","0.0-6.0-0.26","HEFI","3","f","rechts","55","","fixation","","","",""
"709","img/0_30.png","74","image-keyboard-response","59","82593","0.0-6.0-1.26","HEFI","3","f","rechts","55","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","83044","0.0-6.0-0.27","HEFI","3","f","rechts","55","","fixation","","","",""
"1740","img/60_180.png","70","image-keyboard-response","61","84785","0.0-6.0-1.27","HEFI","3","f","rechts","55","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","85087","0.0-6.0-0.28","HEFI","3","f","rechts","55","","fixation","","","",""
"1679","img/L150_180.png","74","image-keyboard-response","63","86767","0.0-6.0-1.28","HEFI","3","f","rechts","55","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","87069","0.0-6.0-0.29","HEFI","3","f","rechts","55","","fixation","","","",""
"2147","img/150_120.png","70","image-keyboard-response","65","89218","0.0-6.0-1.29","HEFI","3","f","rechts","55","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","89519","0.0-6.0-0.30","HEFI","3","f","rechts","55","","fixation","","","",""
"1849","img/150_180.png","74","image-keyboard-response","67","91370","0.0-6.0-1.30","HEFI","3","f","rechts","55","","","object","f","150","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","91822","0.0-6.0-0.31","HEFI","3","f","rechts","55","","fixation","","","",""
"1397","img/90_240.png","74","image-keyboard-response","69","93220","0.0-6.0-1.31","HEFI","3","f","rechts","55","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","93570","0.0-6.0-0.32","HEFI","3","f","rechts","55","","fixation","","","",""
"1369","img/150_300.png","74","image-keyboard-response","71","94940","0.0-6.0-1.32","HEFI","3","f","rechts","55","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","95392","0.0-6.0-0.33","HEFI","3","f","rechts","55","","fixation","","","",""
"1652","img/90_30.png","70","image-keyboard-response","73","97045","0.0-6.0-1.33","HEFI","3","f","rechts","55","","","object","f","90","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","74","97546","0.0-6.0-0.34","HEFI","3","f","rechts","55","","fixation","","","",""
"742","img/0_60.png","74","image-keyboard-response","75","98290","0.0-6.0-1.34","HEFI","3","f","rechts","55","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","98642","0.0-6.0-0.35","HEFI","3","f","rechts","55","","fixation","","","",""
"1331","img/30_300.png","74","image-keyboard-response","77","99975","0.0-6.0-1.35","HEFI","3","f","rechts","55","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","100477","0.0-6.0-0.36","HEFI","3","f","rechts","55","","fixation","","","",""
"1298","img/120_330.png","74","image-keyboard-response","79","101776","0.0-6.0-1.36","HEFI","3","f","rechts","55","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","80","102278","0.0-6.0-0.37","HEFI","3","f","rechts","55","","fixation","","","",""
"1456","img/90_180.png","74","image-keyboard-response","81","103735","0.0-6.0-1.37","HEFI","3","f","rechts","55","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","104037","0.0-6.0-0.38","HEFI","3","f","rechts","55","","fixation","","","",""
"1483","img/60_330.png","74","image-keyboard-response","83","105522","0.0-6.0-1.38","HEFI","3","f","rechts","55","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","105873","0.0-6.0-0.39","HEFI","3","f","rechts","55","","fixation","","","",""
"1424","img/120_90.png","70","image-keyboard-response","85","107299","0.0-6.0-1.39","HEFI","3","f","rechts","55","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","86","107801","0.0-6.0-0.40","HEFI","3","f","rechts","55","","fixation","","","",""
"782","img/0_240.png","70","image-keyboard-response","87","108585","0.0-6.0-1.40","HEFI","3","f","rechts","55","","","object","f","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","108937","0.0-6.0-0.41","HEFI","3","f","rechts","55","","fixation","","","",""
"1377","img/150_90.png","70","image-keyboard-response","89","110315","0.0-6.0-1.41","HEFI","3","f","rechts","55","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","110666","0.0-6.0-0.42","HEFI","3","f","rechts","55","","fixation","","","",""
"1484","img/L120_180.png","74","image-keyboard-response","91","112152","0.0-6.0-1.42","HEFI","3","f","rechts","55","","","object","j","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","92","112553","0.0-6.0-0.43","HEFI","3","f","rechts","55","","fixation","","","",""
"709","img/0_120.png","74","image-keyboard-response","93","113264","0.0-6.0-1.43","HEFI","3","f","rechts","55","","","object","j","0","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","113565","0.0-6.0-0.44","HEFI","3","f","rechts","55","","fixation","","","",""
"846","img/90_150.png","70","image-keyboard-response","95","114412","0.0-6.0-1.44","HEFI","3","f","rechts","55","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","114913","0.0-6.0-0.45","HEFI","3","f","rechts","55","","fixation","","","",""
"1119","img/60_150.png","74","image-keyboard-response","97","116034","0.0-6.0-1.45","HEFI","3","f","rechts","55","","","object","j","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","98","116335","0.0-6.0-0.46","HEFI","3","f","rechts","55","","fixation","","","",""
"1341","img/60_30.png","70","image-keyboard-response","99","117677","0.0-6.0-1.46","HEFI","3","f","rechts","55","","","object","f","60","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","118078","0.0-6.0-0.47","HEFI","3","f","rechts","55","","fixation","","","",""
"1265","img/150_60.png","70","image-keyboard-response","101","119344","0.0-6.0-1.47","HEFI","3","f","rechts","55","","","object","f","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","119796","0.0-6.0-0.48","HEFI","3","f","rechts","55","","fixation","","","",""
"1919","img/90_210.png","74","image-keyboard-response","103","121717","0.0-6.0-1.48","HEFI","3","f","rechts","55","","","object","f","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","104","122219","0.0-6.0-0.49","HEFI","3","f","rechts","55","","fixation","","","",""
"1805","img/150_240.png","74","image-keyboard-response","105","124026","0.0-6.0-1.49","HEFI","3","f","rechts","55","","","object","j","150","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","124427","0.0-6.0-0.50","HEFI","3","f","rechts","55","","fixation","","","",""
"2598","img/L90_180.png","70","image-keyboard-response","107","127028","0.0-6.0-1.50","HEFI","3","f","rechts","55","","","object","j","90","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","127529","0.0-6.0-0.51","HEFI","3","f","rechts","55","","fixation","","","",""
"1718","img/60_210.png","74","image-keyboard-response","109","129248","0.0-6.0-1.51","HEFI","3","f","rechts","55","","","object","f","60","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","110","129550","0.0-6.0-0.52","HEFI","3","f","rechts","55","","fixation","","","",""
"1080","img/30_240.png","74","image-keyboard-response","111","130631","0.0-6.0-1.52","HEFI","3","f","rechts","55","","","object","f","30","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","131133","0.0-6.0-0.53","HEFI","3","f","rechts","55","","fixation","","","",""
"829","img/120_30.png","70","image-keyboard-response","113","131963","0.0-6.0-1.53","HEFI","3","f","rechts","55","","","object","f","120","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","132415","0.0-6.0-0.54","HEFI","3","f","rechts","55","","fixation","","","",""
"1441","img/60_210.png","74","image-keyboard-response","115","133856","0.0-6.0-1.54","HEFI","3","f","rechts","55","","","object","f","60","false"
